0,O,-5
1,O,-3
1.1,O,-4
1.2,O,-3
1.3,O,-2
1.4,O,-1
1.5,O,0
1.6,O,1
1.7,O,2
1.8,O,3
2,O,-2
3,O,-1
4,O,0
5,O,1
6,O,2
7,O,3
8,O,4
9,O,5
10,R,-1
15.00,O,-5
15.01,O,-3
15.02,O,-2
15.03,O,-1
15.04,O,0
15.05,O,1
15.06,O,2
15.07,O,3
15.08,O,4
15.09,O,5
20,R,1
21,O,-4
22,O,-3
23,O,-2
24,O,-1
25,O,0
26,O,1
27,O,2
28,O,3
29,O,4
30,R,-1
31,O,-3
32,O,-2
33,O,-1
34,O,0
35,O,1
36,O,2
37,O,3
38,O,4
39,O,5
40,R,-1
45,O,-5
45,O,-3
45,O,-2
45,O,-1
45,O,0
45,O,1
45,O,2
45,O,3
45,O,4
45,O,5
50,R,1
51,O,-4
52,O,-3
53,O,-2
54,O,-1
55,O,0
56,O,1
57,O,2
58,O,3
59,O,4
60,R,-1
61,O,-3
62,O,-2
63,O,-1
64,O,0
65,O,1
66,O,2
67,O,3
68,O,4
69,O,5
70,R,-1
75,O,-5
75,O,-3
75,O,-2
75,O,-1
75,O,0
75,O,1
75,O,2
75,O,3
75,O,4
75,O,5
80,R,1
81,O,-4
82,O,-3
83,O,-2
84,O,-1
85,O,0
86,O,1
87,O,2
88,O,3
89,O,4
90,R,-1
92,R,1
94,R,-1
96,R,1
98,R,-1
100,R,1
